"measure","value","units","category","scenario","climset","period","strategy","value_hist","pctchange"
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",249.2333,-0.106968049614562
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",252.9333,0.658948426324249
"Mean Project Supply (Apr-Sep)",357.9902,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline",361.3104,-0.918932862159517
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline",1377.9978,-0.424717659200919
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline",187.6871,0.678842605591969
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline",668.7854,6.48355959923766
"Mean Annual MWAT",79.8731,"degF","Water Quality","CT","CMIP3",2030,"Baseline",75.7443,5.45097122819803
"Mean exceedence of MWAT - Poor",16.1931,"degF","Water Quality","CT","CMIP3",2030,"Baseline",12.0643,34.2232868877598
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add Flow
10%",70.5029,-1.6958167678209
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add Flow
10%",56.8769,-2.92051782006403
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Add Flow
10%",26741.1142,-4.28518644148342
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Add Flow
10%",NA,NA
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Add Flow
10%",NA,NA
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Add Flow
10%",44.1179,-0.682716085761112
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Add Flow
10%",224.4786,29.4589773813629
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%",247.6667,1.68234163090961
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%",154.9,0.989864428663652
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%",220.4333,16.1953751996636
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%",183.9667,2.46419596590035
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%",252.9333,0.658948426324249
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%",171.8,3.16257275902212
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%",59,-11.5818644067797
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%",256,-21.640625
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%",249.2333,-0.106968049614562
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%",252.9333,0.658948426324249
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Add Flow
10%",NA,NA
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Add Flow
10%",1377.9978,-0.424717659200919
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Add Flow
10%",187.6871,0.678842605591969
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Add Flow
10%",668.7854,6.48355959923766
"Mean Annual MWAT",79.4437,"degF","Water Quality","CT","CMIP3",2030,"Add Flow
10%",75.7443,4.88406388335493
"Mean exceedence of MWAT - Poor",15.7637,"degF","Water Quality","CT","CMIP3",2030,"Add Flow
10%",12.0643,30.6640252646237
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add Flow
20%",70.5029,-1.6958167678209
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add Flow
20%",56.8769,-2.92051782006403
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Add Flow
20%",NA,NA
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Add Flow
20%",26741.1142,-4.28518644148342
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
20%",NA,NA
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
20%",NA,NA
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Add Flow
20%",NA,NA
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Add Flow
20%",NA,NA
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Add Flow
20%",44.1179,-0.682716085761112
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Add Flow
20%",224.4786,29.4589773813629
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%",247.6667,1.68234163090961
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%",154.9,0.989864428663652
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%",220.4333,16.1953751996636
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%",183.9667,2.46419596590035
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%",252.9333,0.658948426324249
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%",171.8,3.16257275902212
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%",59,-11.5818644067797
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%",256,-21.640625
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%",249.2333,-0.106968049614562
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%",252.9333,0.658948426324249
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Add Flow
20%",NA,NA
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Add Flow
20%",1377.9978,-0.424717659200919
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Add Flow
20%",187.6871,0.678842605591969
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Add Flow
20%",668.7854,6.48355959923766
"Mean Annual MWAT",79.142,"degF","Water Quality","CT","CMIP3",2030,"Add Flow
20%",75.7443,4.48575008284452
"Mean exceedence of MWAT - Poor",15.462,"degF","Water Quality","CT","CMIP3",2030,"Add Flow
20%",12.0643,28.1632585396583
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce Tribs
4degC",70.5029,-1.6958167678209
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce Tribs
4degC",56.8769,-2.92051782006403
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Reduce Tribs
4degC",26741.1142,-4.28518644148342
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce Tribs
4degC",44.1179,-0.682716085761112
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Reduce Tribs
4degC",224.4786,29.4589773813629
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",247.6667,1.68234163090961
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",154.9,0.989864428663652
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",220.4333,16.1953751996636
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",183.9667,2.46419596590035
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",252.9333,0.658948426324249
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",171.8,3.16257275902212
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",59,-11.5818644067797
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",256,-21.640625
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",249.2333,-0.106968049614562
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",252.9333,0.658948426324249
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce Tribs
4degC",1377.9978,-0.424717659200919
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce Tribs
4degC",187.6871,0.678842605591969
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce Tribs
4degC",668.7854,6.48355959923766
"Mean Annual MWAT",76.4463,"degF","Water Quality","CT","CMIP3",2030,"Reduce Tribs
4degC",75.7443,0.926802412854826
"Mean exceedence of MWAT - Poor",12.7663,"degF","Water Quality","CT","CMIP3",2030,"Reduce Tribs
4degC",12.0643,5.81882081844782
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",70.5029,-1.6958167678209
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",56.8769,-2.92051782006403
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",26741.1142,-4.28518644148342
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",44.1179,-0.682716085761112
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",224.4786,29.4589773813629
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",247.6667,1.68234163090961
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",154.9,0.989864428663652
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",220.4333,16.1953751996636
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",183.9667,2.46419596590035
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",252.9333,0.658948426324249
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",171.8,3.16257275902212
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",59,-11.5818644067797
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",256,-21.640625
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",249.2333,-0.106968049614562
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",252.9333,0.658948426324249
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",1377.9978,-0.424717659200919
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",187.6871,0.678842605591969
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",668.7854,6.48355959923766
"Mean Annual MWAT",76.9211,"degF","Water Quality","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",75.7443,1.55364826132131
"Mean exceedence of MWAT - Poor",13.2411,"degF","Water Quality","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",12.0643,9.75439934351765
"Frequency Meeting Dry Year Fish Targets Scott",69.3894,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline",70.5029,-1.57936765721694
"Frequency Meeting Dry Year Fish Targets Shasta",56.6578,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline",56.8769,-0.385217900412993
"Mean Annual Water Delivery to LKNWR",12.4664,"KAF","Ecological Resources","CT","CMIP3",2070,"Baseline",24.6143,-49.3530183673718
"Mean Annual Hydropower Generated (MW)",25923.4083,"MW","Hydropower","CT","CMIP3",2070,"Baseline",26741.1142,-3.05786024428257
"Boyle Mean Spill Volume per Year",378.0733,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",163.0602,131.861177650953
"Copco1 Mean Spill Volume per Year",419.0979,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",186.3791,124.863141843694
"Iron Gate Mean Spill Volume per Year",754.2105,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",533.8601,41.2749332643515
"Boyle Mean Spill Days per Year",205.9667,"days","Hydropower","CT","CMIP3",2070,"Baseline",105.9,94.4916902738432
"Copco1 Mean Spill Days per Year",54.4333,"days","Hydropower","CT","CMIP3",2070,"Baseline",42.8,27.1806074766355
"Iron Gate Mean Spill Days per Year",141.2667,"days","Hydropower","CT","CMIP3",2070,"Baseline",170.3333,-17.0645434568578
"Freq of UKL Flood Control Release",42.174,"Percent of Days","Flood Control","CT","CMIP3",2070,"Baseline",44.1179,-4.40614807141772
"Mean Ann UKL Flood Control Release Volume",359.1891,"KAF","Flood Control","CT","CMIP3",2070,"Baseline",224.4786,60.010397427639
"KenoReach Mean Ann Fishing Days",233.6333,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",247.6667,-5.66624419027669
"BoyleReach Mean Ann Fishing Days",152.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",154.9,-1.4202711426727
"HellsCornerReach Mean Ann Fishing Days",244.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",220.4333,11.0993665657593
"IGScottReach Mean Ann Fishing Days",271.4,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",274.7333,-1.21328575749646
"ScottSalmonReach Mean Ann Fishing Days",192.8,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",183.9667,4.80157550252301
"SalmonTrinityReach Mean Ann Fishing Days",223.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",213.9333,4.65878851025063
"TrinityOceanReach Mean Ann Fishing Days",252.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",252.9333,-0.0922377559617552
"KenoReach Mean Ann Boating Days",174.2667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",171.8,1.43579743888241
"BoyleReach Mean Ann Boating Days",50.8,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",59,-13.8983050847458
"HellsCornerReach Mean Ann Boating Days",176.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",256,-30.8984375
"IGScottReach Mean Ann Boating Days",271.4,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",274.7333,-1.21328575749646
"ScottSalmonReach Mean Ann Boating Days",243.6667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",249.2333,-2.23348966610803
"SalmonTrinityReach Mean Ann Boating Days",223.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",213.9333,4.65878851025063
"TrinityOceanReach Mean Ann Boating Days",252.7,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",252.9333,-0.0922377559617552
"Mean Project Supply (Apr-Sep)",360.073,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline",361.3104,-0.342475610998199
"Mean Annual UKL Stg and Inflow",1397.6768,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline",1377.9978,1.42808645993483
"Mean Annual Shasta Flow",196.5632,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline",187.6871,4.72920088807383
"Mean Annual Scott Flow",755.673,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline",668.7854,12.9918505996094
"Mean Annual MWAT",81.1974,"degF","Water Quality","CT","CMIP3",2070,"Baseline",75.7443,7.19935361472745
"Mean exceedence of MWAT - Poor",17.5174,"degF","Water Quality","CT","CMIP3",2070,"Baseline",12.0643,45.200301716635
"Frequency Meeting Dry Year Fish Targets Scott",69.3894,"% of Days","Ecological Resources","CT","CMIP3",2070,"Add Flow
10%",70.5029,-1.57936765721694
"Frequency Meeting Dry Year Fish Targets Shasta",56.6578,"% of Days","Ecological Resources","CT","CMIP3",2070,"Add Flow
10%",56.8769,-0.385217900412993
"Mean Percent of Annual Refuge Demand",13.0675,"% of Years","Ecological Resources","CT","CMIP3",2070,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",25923.4083,"MW","Hydropower","CT","CMIP3",2070,"Add Flow
10%",26741.1142,-3.05786024428257
"Boyle Mean Spill Volume per year",378.0733,"KAF","Hydropower","CT","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",419.0979,"KAF","Hydropower","CT","CMIP3",2070,"Add Flow
10%",NA,NA
