"measure","scenario","period","climset","value","value_hist"
"Mean Annual MWAT","CT",2030,"CMIP3",79.8011,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5",79.7917,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5",79.376,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5",79.0597,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5",76.3631,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5",76.8166,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5",79.7206,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3",80.4714,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3",80.0266,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3",79.6923,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3",77.0669,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3",77.516,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3",80.4123,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5",79.8414,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5",79.4034,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5",79.0503,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5",76.3829,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5",76.874,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5",79.76,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3",80.252,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3",79.8774,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3",79.5937,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3",76.8071,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3",77.2546,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3",80.1646,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5",79.394,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5",79.0271,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5",78.7289,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5",75.8626,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5",76.3649,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5",79.2946,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3",82.7394,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3",82.2611,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3",81.8763,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3",79.3983,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3",79.7891,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3",82.7009,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5",83.1843,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5",82.7283,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5",82.3777,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5",79.7291,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5",80.1774,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5",83.1294,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3",82.2269,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3",81.8103,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3",81.4674,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3",78.716,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3",79.1591,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3",82.1591,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5",83.6583,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5",83.2529,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5",82.9391,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5",80.0737,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5",80.5366,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5",83.5957,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3",81.1974,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3",80.7783,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3",80.4449,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3",77.7303,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3",78.1837,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3",81.1229,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5",80.8357,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5",80.4251,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5",80.102,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5",77.3797,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5",77.8426,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5",80.762,75.7443
