"measure","value","units","category","scenario","climset","period","strategy","value_hist","pctchange"
"BoyleReach Mean Ann Fishing Days",189.4,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce ET 50%",154.9,22.2724338282763
"HellsCornerReach Mean Ann Fishing Days",273.6,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce ET 50%",220.4333,24.119178000783
"IGScottReach Mean Ann Fishing Days",285.2667,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce ET 50%",274.7333,3.83404559985995
"ScottSalmonReach Mean Ann Fishing Days",211.5667,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce ET 50%",183.9667,15.0027151652989
"SalmonTrinityReach Mean Ann Fishing Days",244.4667,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce ET 50%",213.9333,14.2723923765024
"TrinityOceanReach Mean Ann Fishing Days",272.2333,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce ET 50%",252.9333,7.63047016743149
"KenoReach Mean Ann Boating Days",153.3,"days","Recreation Boating","HD","CMIP3",2030,"Reduce ET 50%",171.8,-10.7683352735739
"BoyleReach Mean Ann Boating Days",42.7333,"days","Recreation Boating","HD","CMIP3",2030,"Reduce ET 50%",59,-27.5706779661017
"HellsCornerReach Mean Ann Boating Days",183.7333,"days","Recreation Boating","HD","CMIP3",2030,"Reduce ET 50%",256,-28.2291796875
"IGScottReach Mean Ann Boating Days",285.2667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce ET 50%",274.7333,3.83404559985995
"ScottSalmonReach Mean Ann Boating Days",261.0667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce ET 50%",249.2333,4.74792092388939
"SalmonTrinityReach Mean Ann Boating Days",244.4667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce ET 50%",213.9333,14.2723923765024
"TrinityOceanReach Mean Ann Boating Days",272.2333,"days","Recreation Boating","HD","CMIP3",2030,"Reduce ET 50%",252.9333,7.63047016743149
"Mean Project Supply (Apr-Sep)",333.5105,"KAF","Water Delivery","HD","CMIP3",2030,"Reduce ET 50%",361.3104,-7.69418760157472
"Mean Annual UKL Stg and Inflow",1268.4014,"KAF","Water Delivery","HD","CMIP3",2030,"Reduce ET 50%",1377.9978,-7.95330732748631
"Mean Annual Shasta Flow",176.1537,"cfs","Water Delivery","HD","CMIP3",2030,"Reduce ET 50%",187.6871,-6.14501476127022
"Mean Annual Scott Flow",616.8022,"cfs","Water Delivery","HD","CMIP3",2030,"Reduce ET 50%",668.7854,-7.77277733634736
"Mean Annual MWAT",80.5871,"degF","Water Quality","HD","CMIP3",2030,"Reduce ET 50%",75.7443,6.39361641734099
"Mean exceedence of MWAT - Poor",16.9071,"degF","Water Quality","HD","CMIP3",2030,"Reduce ET 50%",12.0643,40.1415747287451
"Frequency Meeting Dry Year Fish Targets Scott",62.9826,"% of Days","Ecological Resources","HD","CMIP3",2030,"Add 30KAF",70.5029,-10.6666534284405
"Frequency Meeting Dry Year Fish Targets Shasta",51.4101,"% of Days","Ecological Resources","HD","CMIP3",2030,"Add 30KAF",56.8769,-9.61163495197523
"Mean Annual Water Delivery to LKNWR",11.1828,"KAF","Ecological Resources","HD","CMIP3",2030,"Add 30KAF",24.6143,-54.5678731469105
"Mean Annual Hydropower Generated (MW)",23749.9236,"MW","Hydropower","HD","CMIP3",2030,"Add 30KAF",26741.1142,-11.1857366062929
"Boyle Mean Spill Volume per Year",201.7553,"KAF","Hydropower","HD","CMIP3",2030,"Add 30KAF",163.0602,23.7305608603448
"Copco1 Mean Spill Volume per Year",233.2393,"KAF","Hydropower","HD","CMIP3",2030,"Add 30KAF",186.3791,25.1424113540628
"Iron Gate Mean Spill Volume per Year",509.4214,"KAF","Hydropower","HD","CMIP3",2030,"Add 30KAF",533.8601,-4.57773487848221
"Boyle Mean Spill Days per Year",152.6667,"days","Hydropower","HD","CMIP3",2030,"Add 30KAF",105.9,44.1611898016997
"Copco1 Mean Spill Days per Year",40.5667,"days","Hydropower","HD","CMIP3",2030,"Add 30KAF",42.8,-5.21799065420561
"Iron Gate Mean Spill Days per Year",115.2333,"days","Hydropower","HD","CMIP3",2030,"Add 30KAF",170.3333,-32.3483429253117
"Freq of UKL Flood Control Release",38.5781,"Percent of Days","Flood Control","HD","CMIP3",2030,"Add 30KAF",44.1179,-12.5568080076341
"Mean Ann UKL Flood Control Release Volume",239.9806,"KAF","Flood Control","HD","CMIP3",2030,"Add 30KAF",224.4786,6.9057807737575
"KenoReach Mean Ann Fishing Days",269.9,"days","Recreation Fishing","HD","CMIP3",2030,"Add 30KAF",247.6667,8.97710511748248
"BoyleReach Mean Ann Fishing Days",185.5667,"days","Recreation Fishing","HD","CMIP3",2030,"Add 30KAF",154.9,19.7977404777276
"HellsCornerReach Mean Ann Fishing Days",272.2,"days","Recreation Fishing","HD","CMIP3",2030,"Add 30KAF",220.4333,23.484065247855
"IGScottReach Mean Ann Fishing Days",284.4667,"days","Recreation Fishing","HD","CMIP3",2030,"Add 30KAF",274.7333,3.54285410614586
"ScottSalmonReach Mean Ann Fishing Days",211.5667,"days","Recreation Fishing","HD","CMIP3",2030,"Add 30KAF",183.9667,15.0027151652989
"SalmonTrinityReach Mean Ann Fishing Days",244.2,"days","Recreation Fishing","HD","CMIP3",2030,"Add 30KAF",213.9333,14.1477273524038
"TrinityOceanReach Mean Ann Fishing Days",272.3,"days","Recreation Fishing","HD","CMIP3",2030,"Add 30KAF",252.9333,7.65684075604122
"KenoReach Mean Ann Boating Days",155.4667,"days","Recreation Boating","HD","CMIP3",2030,"Add 30KAF",171.8,-9.50715948777649
"BoyleReach Mean Ann Boating Days",43.7,"days","Recreation Boating","HD","CMIP3",2030,"Add 30KAF",59,-25.9322033898305
"HellsCornerReach Mean Ann Boating Days",183.7,"days","Recreation Boating","HD","CMIP3",2030,"Add 30KAF",256,-28.2421875
"IGScottReach Mean Ann Boating Days",284.4667,"days","Recreation Boating","HD","CMIP3",2030,"Add 30KAF",274.7333,3.54285410614586
"ScottSalmonReach Mean Ann Boating Days",260.7,"days","Recreation Boating","HD","CMIP3",2030,"Add 30KAF",249.2333,4.60078970185765
"SalmonTrinityReach Mean Ann Boating Days",244.2,"days","Recreation Boating","HD","CMIP3",2030,"Add 30KAF",213.9333,14.1477273524038
"TrinityOceanReach Mean Ann Boating Days",272.3,"days","Recreation Boating","HD","CMIP3",2030,"Add 30KAF",252.9333,7.65684075604122
"Mean Project Supply (Apr-Sep)",337.0918,"KAF","Water Delivery","HD","CMIP3",2030,"Add 30KAF",361.3104,-6.70299000526972
"Mean Annual UKL Stg and Inflow",1279.0301,"KAF","Water Delivery","HD","CMIP3",2030,"Add 30KAF",1377.9978,-7.18199259824654
"Mean Annual Shasta Flow",173.102,"cfs","Water Delivery","HD","CMIP3",2030,"Add 30KAF",187.6871,-7.77096561244752
"Mean Annual Scott Flow",613.0855,"cfs","Water Delivery","HD","CMIP3",2030,"Add 30KAF",668.7854,-8.32851614284641
"Mean Annual MWAT",80.5897,"degF","Water Quality","HD","CMIP3",2030,"Add 30KAF",75.7443,6.39704901887006
"Mean exceedence of MWAT - Poor",16.9097,"degF","Water Quality","HD","CMIP3",2030,"Add 30KAF",12.0643,40.1631259169616
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Baseline",70.5029,-17.0227040306143
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Baseline",56.8769,-17.2175347109283
"Mean Annual Water Delivery to LKNWR",8.2921,"KAF","Ecological Resources","HD","CMIP3",2070,"Baseline",24.6143,-66.3118593663033
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Baseline",26741.1142,-15.254305297421
"Boyle Mean Spill Volume per Year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Baseline",163.0602,32.826465317717
"Copco1 Mean Spill Volume per Year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Baseline",186.3791,30.5302472219256
"Iron Gate Mean Spill Volume per Year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Baseline",533.8601,-8.97038381403667
"Boyle Mean Spill Days per Year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Baseline",105.9,47.8439093484419
"Copco1 Mean Spill Days per Year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Baseline",42.8,-12.3053738317757
"Iron Gate Mean Spill Days per Year",110.1,"days","Hydropower","HD","CMIP3",2070,"Baseline",170.3333,-35.3620225757383
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Baseline",44.1179,-22.0520469015978
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Baseline",224.4786,0.794374163060529
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",247.6667,7.03901654925754
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",154.9,27.9320206584893
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",220.4333,25.0113753230569
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",183.9667,17.5575253564911
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",252.9333,11.3205339115095
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",171.8,-17.2681606519209
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",59,-13.5593220338983
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",256,-34.3359375
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",274.7333,3.74909048156886
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",249.2333,4.94853617072839
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",213.9333,16.6407006295888
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",252.9333,11.3205339115095
"Mean Project Supply (Apr-Sep)",317.8179,"KAF","Water Delivery","HD","CMIP3",2070,"Baseline",361.3104,-12.0374337411821
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Baseline",1377.9978,-13.2129020815563
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Baseline",187.6871,-15.0224495982942
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Baseline",668.7854,-18.1416938826715
"Mean Annual MWAT",82.7394,"degF","Water Quality","HD","CMIP3",2070,"Baseline",75.7443,9.23515036775045
"Mean exceedence of MWAT - Poor",19.0594,"degF","Water Quality","HD","CMIP3",2070,"Baseline",12.0643,57.9818141127127
"Frequency Meeting Dry Year Fish Targets Scott",57.3606,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce ET 30%",70.5029,-18.6407934992745
"Frequency Meeting Dry Year Fish Targets Shasta",46.4087,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce ET 30%",56.8769,-18.4050115248897
"Mean Annual Water Delivery to LKNWR",9.5191,"KAF","Ecological Resources","HD","CMIP3",2070,"Reduce ET 30%",24.6143,-61.3269522188321
"Mean Annual Hydropower Generated (MW)",22888.1445,"MW","Hydropower","HD","CMIP3",2070,"Reduce ET 30%",26741.1142,-14.4084112246901
"Boyle Mean Spill Volume per Year",218.7361,"KAF","Hydropower","HD","CMIP3",2070,"Reduce ET 30%",163.0602,34.1443834853631
"Copco1 Mean Spill Volume per Year",245.4907,"KAF","Hydropower","HD","CMIP3",2070,"Reduce ET 30%",186.3791,31.7157878753573
"Iron Gate Mean Spill Volume per Year",492.6857,"KAF","Hydropower","HD","CMIP3",2070,"Reduce ET 30%",533.8601,-7.71258237879175
"Boyle Mean Spill Days per Year",157.9,"days","Hydropower","HD","CMIP3",2070,"Reduce ET 30%",105.9,49.1029272898961
"Copco1 Mean Spill Days per Year",37.8,"days","Hydropower","HD","CMIP3",2070,"Reduce ET 30%",42.8,-11.6822429906542
"Iron Gate Mean Spill Days per Year",112.7333,"days","Hydropower","HD","CMIP3",2070,"Reduce ET 30%",170.3333,-33.8160535843549
"Freq of UKL Flood Control Release",34.5076,"Percent of Days","Flood Control","HD","CMIP3",2070,"Reduce ET 30%",44.1179,-21.7832217761952
"Mean Ann UKL Flood Control Release Volume",228.7014,"KAF","Flood Control","HD","CMIP3",2070,"Reduce ET 30%",224.4786,1.88115927308884
"KenoReach Mean Ann Fishing Days",264.6333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 30%",247.6667,6.85057781284284
"BoyleReach Mean Ann Fishing Days",196.6667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 30%",154.9,26.9636539703034
"HellsCornerReach Mean Ann Fishing Days",273.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 30%",220.4333,23.9226106037518
"IGScottReach Mean Ann Fishing Days",285.8667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 30%",274.7333,4.0524392201455
"ScottSalmonReach Mean Ann Fishing Days",216.8333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 30%",183.9667,17.8655158786889
"SalmonTrinityReach Mean Ann Fishing Days",250.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 30%",213.9333,16.8744183350605
"TrinityOceanReach Mean Ann Fishing Days",281.4667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 30%",252.9333,11.2809977966523
"KenoReach Mean Ann Boating Days",144.1667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 30%",171.8,-16.0845750873108
"BoyleReach Mean Ann Boating Days",52.4333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 30%",59,-11.13
"HellsCornerReach Mean Ann Boating Days",169.1667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 30%",256,-33.9192578125
"IGScottReach Mean Ann Boating Days",285.8667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 30%",274.7333,4.0524392201455
"ScottSalmonReach Mean Ann Boating Days",262.6667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 30%",249.2333,5.38988971377419
"SalmonTrinityReach Mean Ann Boating Days",250.0333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 30%",213.9333,16.8744183350605
"TrinityOceanReach Mean Ann Boating Days",281.4667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 30%",252.9333,11.2809977966523
"Mean Project Supply (Apr-Sep)",320.8649,"KAF","Water Delivery","HD","CMIP3",2070,"Reduce ET 30%",361.3104,-11.1941145342066
"Mean Annual UKL Stg and Inflow",1207.4062,"KAF","Water Delivery","HD","CMIP3",2070,"Reduce ET 30%",1377.9978,-12.3796714334377
"Mean Annual Shasta Flow",161.7972,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce ET 30%",187.6871,-13.7941819123424
"Mean Annual Scott Flow",550.4675,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce ET 30%",668.7854,-17.6914597716996
"Mean Annual MWAT",82.7394,"degF","Water Quality","HD","CMIP3",2070,"Reduce ET 30%",75.7443,9.23515036775045
"Mean exceedence of MWAT - Poor",19.0594,"degF","Water Quality","HD","CMIP3",2070,"Reduce ET 30%",12.0643,57.9818141127127
"Frequency Meeting Dry Year Fish Targets Scott",56.2654,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce ET 50%",70.5029,-20.1942047773921
"Frequency Meeting Dry Year Fish Targets Shasta",45.6603,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce ET 50%",56.8769,-19.7208356995547
"Mean Annual Water Delivery to LKNWR",10.3992,"KAF","Ecological Resources","HD","CMIP3",2070,"Reduce ET 50%",24.6143,-57.7513884205523
"Mean Annual Hydropower Generated (MW)",23011.707,"MW","Hydropower","HD","CMIP3",2070,"Reduce ET 50%",26741.1142,-13.9463418468928
"Boyle Mean Spill Volume per Year",220.1271,"KAF","Hydropower","HD","CMIP3",2070,"Reduce ET 50%",163.0602,34.9974426622806
"Copco1 Mean Spill Volume per Year",246.929,"KAF","Hydropower","HD","CMIP3",2070,"Reduce ET 50%",186.3791,32.4874945742307
"Iron Gate Mean Spill Volume per Year",495.4437,"KAF","Hydropower","HD","CMIP3",2070,"Reduce ET 50%",533.8601,-7.19596763271876
"Boyle Mean Spill Days per Year",158.0667,"days","Hydropower","HD","CMIP3",2070,"Reduce ET 50%",105.9,49.2603399433428
"Copco1 Mean Spill Days per Year",38.0667,"days","Hydropower","HD","CMIP3",2070,"Reduce ET 50%",42.8,-11.0591121495327
"Iron Gate Mean Spill Days per Year",113.7667,"days","Hydropower","HD","CMIP3",2070,"Reduce ET 50%",170.3333,-33.2093607063328
"Freq of UKL Flood Control Release",34.3342,"Percent of Days","Flood Control","HD","CMIP3",2070,"Reduce ET 50%",44.1179,-22.1762595227787
"Mean Ann UKL Flood Control Release Volume",229.5791,"KAF","Flood Control","HD","CMIP3",2070,"Reduce ET 50%",224.4786,2.27215422761903
"KenoReach Mean Ann Fishing Days",264.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 50%",247.6667,6.60831674181471
"BoyleReach Mean Ann Fishing Days",195.6,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 50%",154.9,26.2750161394448
"HellsCornerReach Mean Ann Fishing Days",272.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 50%",220.4333,23.6504194239255
"IGScottReach Mean Ann Fishing Days",286.8,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 50%",274.7333,4.39215049649971
"ScottSalmonReach Mean Ann Fishing Days",217.8333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 50%",183.9667,18.4090925151128
"SalmonTrinityReach Mean Ann Fishing Days",250.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 50%",213.9333,16.9835177599747
"TrinityOceanReach Mean Ann Fishing Days",281.4,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce ET 50%",252.9333,11.2546272080426
"KenoReach Mean Ann Boating Days",145.5,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 50%",171.8,-15.3084982537835
"BoyleReach Mean Ann Boating Days",53.5667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 50%",59,-9.20898305084746
"HellsCornerReach Mean Ann Boating Days",172.1667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 50%",256,-32.7473828125
"IGScottReach Mean Ann Boating Days",286.8,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 50%",274.7333,4.39215049649971
"ScottSalmonReach Mean Ann Boating Days",263.9333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 50%",249.2333,5.89808825706676
"SalmonTrinityReach Mean Ann Boating Days",250.2667,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 50%",213.9333,16.9835177599747
"TrinityOceanReach Mean Ann Boating Days",281.4,"days","Recreation Boating","HD","CMIP3",2070,"Reduce ET 50%",252.9333,11.2546272080426
"Mean Project Supply (Apr-Sep)",323.2803,"KAF","Water Delivery","HD","CMIP3",2070,"Reduce ET 50%",361.3104,-10.5256034700357
"Mean Annual UKL Stg and Inflow",1215.1082,"KAF","Water Delivery","HD","CMIP3",2070,"Reduce ET 50%",1377.9978,-11.8207445614209
"Mean Annual Shasta Flow",163.8013,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce ET 50%",187.6871,-12.7263940888852
"Mean Annual Scott Flow",552.8526,"cfs","Water Delivery","HD","CMIP3",2070,"Reduce ET 50%",668.7854,-17.334828182553
"Mean Annual MWAT",82.7669,"degF","Water Quality","HD","CMIP3",2070,"Reduce ET 50%",75.7443,9.27145673007739
"Mean exceedence of MWAT - Poor",19.0869,"degF","Water Quality","HD","CMIP3",2070,"Reduce ET 50%",12.0643,58.2097593726947
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add 30KAF",70.5029,-17.0227040306143
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add 30KAF",56.8769,-17.2175347109283
"Mean Annual Water Delivery to LKNWR",8.7445,"KAF","Ecological Resources","HD","CMIP3",2070,"Add 30KAF",24.6143,-64.4739033813677
"Mean Annual Hydropower Generated (MW)",22976.308,"MW","Hydropower","HD","CMIP3",2070,"Add 30KAF",26741.1142,-14.0787185299856
"Boyle Mean Spill Volume per Year",224.9596,"KAF","Hydropower","HD","CMIP3",2070,"Add 30KAF",163.0602,37.9610720457843
"Copco1 Mean Spill Volume per Year",252.9846,"KAF","Hydropower","HD","CMIP3",2070,"Add 30KAF",186.3791,35.7365713215699
"Iron Gate Mean Spill Volume per Year",503.0186,"KAF","Hydropower","HD","CMIP3",2070,"Add 30KAF",533.8601,-5.77707530493476
"Boyle Mean Spill Days per Year",158.1,"days","Hydropower","HD","CMIP3",2070,"Add 30KAF",105.9,49.2917847025496
"Copco1 Mean Spill Days per Year",38.8,"days","Hydropower","HD","CMIP3",2070,"Add 30KAF",42.8,-9.34579439252337
"Iron Gate Mean Spill Days per Year",111.7,"days","Hydropower","HD","CMIP3",2070,"Add 30KAF",170.3333,-34.4226877539506
"Freq of UKL Flood Control Release",35.5937,"Percent of Days","Flood Control","HD","CMIP3",2070,"Add 30KAF",44.1179,-19.3214092239205
"Mean Ann UKL Flood Control Release Volume",235.635,"KAF","Flood Control","HD","CMIP3",2070,"Add 30KAF",224.4786,4.96991695422191
"KenoReach Mean Ann Fishing Days",261.8333,"days","Recreation Fishing","HD","CMIP3",2070,"Add 30KAF",247.6667,5.72002614804494
"BoyleReach Mean Ann Fishing Days",195.9,"days","Recreation Fishing","HD","CMIP3",2070,"Add 30KAF",154.9,26.468689477082
"HellsCornerReach Mean Ann Fishing Days",272.1,"days","Recreation Fishing","HD","CMIP3",2070,"Add 30KAF",220.4333,23.4387000512173
"IGScottReach Mean Ann Fishing Days",285.0667,"days","Recreation Fishing","HD","CMIP3",2070,"Add 30KAF",274.7333,3.76124772643143
"ScottSalmonReach Mean Ann Fishing Days",216.6667,"days","Recreation Fishing","HD","CMIP3",2070,"Add 30KAF",183.9667,17.7749560110607
"SalmonTrinityReach Mean Ann Fishing Days",249.4,"days","Recreation Fishing","HD","CMIP3",2070,"Add 30KAF",213.9333,16.57839148931
"TrinityOceanReach Mean Ann Fishing Days",281.4667,"days","Recreation Fishing","HD","CMIP3",2070,"Add 30KAF",252.9333,11.2809977966523
"KenoReach Mean Ann Boating Days",143.6333,"days","Recreation Boating","HD","CMIP3",2070,"Add 30KAF",171.8,-16.3950523864959
"BoyleReach Mean Ann Boating Days",52.3667,"days","Recreation Boating","HD","CMIP3",2070,"Add 30KAF",59,-11.2428813559322
"HellsCornerReach Mean Ann Boating Days",170.2,"days","Recreation Boating","HD","CMIP3",2070,"Add 30KAF",256,-33.515625
"IGScottReach Mean Ann Boating Days",285.0667,"days","Recreation Boating","HD","CMIP3",2070,"Add 30KAF",274.7333,3.76124772643143
"ScottSalmonReach Mean Ann Boating Days",261.8333,"days","Recreation Boating","HD","CMIP3",2070,"Add 30KAF",249.2333,5.05550422034295
"SalmonTrinityReach Mean Ann Boating Days",249.4,"days","Recreation Boating","HD","CMIP3",2070,"Add 30KAF",213.9333,16.57839148931
"TrinityOceanReach Mean Ann Boating Days",281.4667,"days","Recreation Boating","HD","CMIP3",2070,"Add 30KAF",252.9333,11.2809977966523
"Mean Project Supply (Apr-Sep)",325.3669,"KAF","Water Delivery","HD","CMIP3",2070,"Add 30KAF",361.3104,-9.94809449160612
"Mean Annual UKL Stg and Inflow",1218.6365,"KAF","Water Delivery","HD","CMIP3",2070,"Add 30KAF",1377.9978,-11.5646991598971
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Add 30KAF",187.6871,-15.0224495982942
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Add 30KAF",668.7854,-18.1416938826715
"Mean Annual MWAT",82.7583,"degF","Water Quality","HD","CMIP3",2070,"Add 30KAF",75.7443,9.26010274040424
"Mean exceedence of MWAT - Poor",19.0783,"degF","Water Quality","HD","CMIP3",2070,"Add 30KAF",12.0643,58.1384746732094
"Frequency Meeting Dry Year Fish Targets Scott",64.5523,"% of Days","Ecological Resources","HD","CMIP5",2030,"Baseline",70.5029,-8.44022018952411
"Frequency Meeting Dry Year Fish Targets Shasta",51.9668,"% of Days","Ecological Resources","HD","CMIP5",2030,"Baseline",56.8769,-8.63285446288388
"Mean Annual Water Delivery to LKNWR",11.8981,"KAF","Ecological Resources","HD","CMIP5",2030,"Baseline",24.6143,-51.6618388497743
"Mean Annual Hydropower Generated (MW)",23340.3422,"MW","Hydropower","HD","CMIP5",2030,"Baseline",26741.1142,-12.7173908108885
"Boyle Mean Spill Volume per Year",183.0942,"KAF","Hydropower","HD","CMIP5",2030,"Baseline",163.0602,12.2862599211825
"Copco1 Mean Spill Volume per Year",203.2339,"KAF","Hydropower","HD","CMIP5",2030,"Baseline",186.3791,9.04328865200015
"Iron Gate Mean Spill Volume per Year",456.6857,"KAF","Hydropower","HD","CMIP5",2030,"Baseline",533.8601,-14.455922066474
"Boyle Mean Spill Days per Year",156.8,"days","Hydropower","HD","CMIP5",2030,"Baseline",105.9,48.0642115203022
"Copco1 Mean Spill Days per Year",37.1,"days","Hydropower","HD","CMIP5",2030,"Baseline",42.8,-13.3177570093458
"Iron Gate Mean Spill Days per Year",115,"days","Hydropower","HD","CMIP5",2030,"Baseline",170.3333,-32.4853096840136
"Freq of UKL Flood Control Release",38.213,"Percent of Days","Flood Control","HD","CMIP5",2030,"Baseline",44.1179,-13.384363262984
"Mean Ann UKL Flood Control Release Volume",215.3164,"KAF","Flood Control","HD","CMIP5",2030,"Baseline",224.4786,-4.08154719425371
"KenoReach Mean Ann Fishing Days",266.5333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",247.6667,7.61773787109854
"BoyleReach Mean Ann Fishing Days",193.7667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",154.9,25.0914783731439
"HellsCornerReach Mean Ann Fishing Days",271.5667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",220.4333,23.1967674575484
"IGScottReach Mean Ann Fishing Days",287.5333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",274.7333,4.65906389942537
"ScottSalmonReach Mean Ann Fishing Days",210.2333,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",183.9667,14.2779100782913
"SalmonTrinityReach Mean Ann Fishing Days",242.2667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",213.9333,13.2440344724267
"TrinityOceanReach Mean Ann Fishing Days",273.9667,"days","Recreation Fishing","HD","CMIP5",2030,"Baseline",252.9333,8.31578918236547
"KenoReach Mean Ann Boating Days",152.0333,"days","Recreation Boating","HD","CMIP5",2030,"Baseline",171.8,-11.5056461001164
